Time,Latitude,Longitude,Altitude (m)
2025-09-06 14:58:31,47.64150602452184,-122.14009860242565,121.71351623535156
2025-09-06 14:58:32,47.64150737513239,-122.14009623390322,121.70652770996094
2025-09-06 14:58:32,47.64150881723283,-122.14009371783473,121.70711517333984
2025-09-06 14:58:34,47.6415249712806,-122.140069507496,121.64520263671875
2025-09-06 14:58:36,47.64153450416132,-122.14005348160892,121.59413146972656
2025-09-06 14:58:37,47.6415438747615,-122.14003772407322,121.5391845703125
2025-09-06 14:58:37,47.64154544392085,-122.14003500051875,121.52928161621094
2025-09-06 14:58:38,47.64154674539923,-122.14003275961336,121.53338623046875
2025-09-06 14:58:38,47.64154793573283,-122.14003085711671,121.54644012451172
2025-09-06 14:58:38,47.64154896351826,-122.14002956252178,121.5511474609375
2025-09-06 14:58:38,47.641549696390456,-122.14002908491007,121.54705810546875
2025-09-06 14:58:39,47.64155033077858,-122.14002924461916,121.53849792480469
2025-09-06 14:58:39,47.641550776783426,-122.14002991505082,121.53060150146484
2025-09-06 14:58:39,47.64155113344739,-122.14003110946754,121.52403259277344
2025-09-06 14:58:39,47.64155133286337,-122.14003250439912,121.52066802978516
2025-09-06 14:58:41,47.64155328709041,-122.14003638912615,121.6463394165039
2025-09-06 14:58:41,47.641554577118534,-122.14003445599128,121.64168548583984
2025-09-06 14:58:41,47.641555707960215,-122.14003270876306,121.63516235351562
2025-09-06 14:58:42,47.64155836931383,-122.14003035022806,121.6385498046875
2025-09-06 14:58:42,47.64155869815209,-122.14003085363895,121.63551330566406
2025-09-06 14:58:43,47.641561753954065,-122.14003185037934,121.71698760986328
2025-09-06 14:58:44,47.64156325485536,-122.14002958683068,121.7099609375
2025-09-06 14:58:44,47.64156464391691,-122.14002745009662,121.7077407836914
2025-09-06 14:58:44,47.64156563906543,-122.14002609411214,121.71387481689453
2025-09-06 14:58:44,47.64156639827823,-122.14002538725214,121.71480560302734
2025-09-06 14:58:46,47.64157079854794,-122.14002365674304,121.75567626953125
2025-09-06 14:58:46,47.641572111117,-122.14002169988665,121.75252532958984
2025-09-06 14:58:48,47.64157961678868,-122.14001051882688,121.72358703613281
2025-09-06 14:58:48,47.641581365950884,-122.14000755076567,121.71240234375
2025-09-06 14:58:48,47.641582913769014,-122.14000496402427,121.71976470947266
2025-09-06 14:58:48,47.641584190587416,-122.14000315333642,121.72946166992188
2025-09-06 14:58:49,47.64158513403252,-122.14000241107831,121.72697448730469
2025-09-06 14:58:49,47.641585878467964,-122.14000266396846,121.7181167602539
2025-09-06 14:58:49,47.64158633628429,-122.14000357866269,121.71094512939453
2025-09-06 14:58:51,47.641589274862476,-122.14000678658347,121.8102798461914
2025-09-06 14:58:51,47.641590740399096,-122.14000462690105,121.8042984008789
2025-09-06 14:58:52,47.641597670489084,-122.13999468952467,121.78781127929688
2025-09-06 14:58:53,47.641599374662924,-122.13999180845029,121.77725982666016
2025-09-06 14:58:54,47.64160679834085,-122.1399807027184,121.76351928710938
2025-09-06 14:58:54,47.64160867455795,-122.13997752667693,121.75210571289062
2025-09-06 14:58:55,47.64161043205612,-122.139974605179,121.76124572753906
2025-09-06 14:58:55,47.64161148010014,-122.13997314732946,121.76859283447266
2025-09-06 14:58:59,47.641633775229465,-122.13993988385505,121.66478729248047
2025-09-06 14:58:59,47.64163587170984,-122.13993600757553,121.65568542480469
2025-09-06 14:58:59,47.641637616468984,-122.13993292064005,121.67489624023438
2025-09-06 14:58:59,47.64163901460368,-122.13993097034037,121.68321228027344
2025-09-06 14:59:00,47.64163998641402,-122.13993039159851,121.67550659179688
2025-09-06 14:59:00,47.64164073226544,-122.139930827856,121.66317749023438
2025-09-06 14:59:00,47.64164132326358,-122.13993218702254,121.65217590332031
2025-09-06 14:59:01,47.64164167169573,-122.13993403928468,121.64659118652344
2025-09-06 14:59:01,47.64164180329355,-122.13993624584684,121.64523315429688
2025-09-06 14:59:01,47.64164169095237,-122.1399386195079,121.64676666259766
2025-09-06 14:59:01,47.641641274287835,-122.13994117565021,121.64989471435547
2025-09-06 14:59:02,47.64164060666712,-122.13994340064413,121.6529312133789
2025-09-06 14:59:02,47.64163959936676,-122.13994550044939,121.65557861328125
2025-09-06 14:59:02,47.641638427946816,-122.139947075305,121.65723419189453
2025-09-06 14:59:03,47.641637075973264,-122.1399482155753,121.65819549560547
2025-09-06 14:59:03,47.64163560182333,-122.13994887290505,121.65866088867188
2025-09-06 14:59:03,47.64163419066437,-122.13994902868765,121.6588363647461
2025-09-06 14:59:03,47.641632789282745,-122.139948748742,121.65888977050781
2025-09-06 14:59:04,47.641631454546165,-122.1399480479425,121.6589126586914
2025-09-06 14:59:04,47.64163014730756,-122.13994684998737,121.65895080566406
2025-09-06 14:59:05,47.641629531771905,-122.13993365737312,121.6873550415039
2025-09-06 14:59:06,47.64163109122558,-122.13992978921866,121.67628479003906
2025-09-06 14:59:06,47.641632499084494,-122.13992670977252,121.6875228881836
2025-09-06 14:59:06,47.64163365652236,-122.1399248589761,121.69290924072266
2025-09-06 14:59:07,47.641634509451116,-122.13992440042426,121.6866455078125
2025-09-06 14:59:07,47.64163516493178,-122.13992488417419,121.6785659790039
2025-09-06 14:59:08,47.641639195215525,-122.13992732003334,121.75883483886719
2025-09-06 14:59:09,47.64164085567861,-122.13992493834402,121.75174713134766
2025-09-06 14:59:09,47.64164234881529,-122.13992271494531,121.7512435913086
2025-09-06 14:59:09,47.641643606797146,-122.13992116945734,121.75739288330078
2025-09-06 14:59:09,47.64164451695389,-122.13992078794324,121.75430297851562
